stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
999999,12839,1948,04,10,76.0,24,66.7,24,1020.1,24,1019.7,24,9.4,24,6.2,24,15.9,999.9,84.9,*,68.0,*,99.99,,999.9,0,1,0,0,1,0
999999,12839,1948,04,11,76.6,24,68.1,24,1020.4,24,1020.0,24,9.6,24,13.4,24,22.9,999.9,81.0,*,72.0,*,99.99,,999.9,0,1,0,0,1,0
999999,12839,1948,04,12,76.9,24,64.8,24,1021.3,24,1020.9,24,9.7,24,14.3,24,19.0,999.9,82.0,*,73.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,13,76.8,5,66.4,5,1021.8,5,1021.5,5,9.9,5,16.6,5,19.0,999.9,77.0,*,75.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,14,77.7,19,63.9,19,1020.7,19,1020.3,19,11.0,19,13.4,19,19.0,999.9,81.0,*,73.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,15,75.1,24,65.5,24,1017.4,24,1016.9,24,11.0,24,10.2,24,19.0,999.9,81.0,*,66.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,16,73.7,24,66.2,24,1014.0,24,1013.8,24,10.0,24,7.3,24,14.0,999.9,84.0,*,66.0,*,99.99,,999.9,0,1,0,0,1,0
999999,12839,1948,04,17,73.5,24,64.7,24,1014.0,24,1013.7,24,10.5,24,8.8,24,15.9,999.9,84.0,*,66.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,04,18,71.9,24,65.7,24,1016.5,24,1016.2,24,9.9,24,11.0,24,22.9,999.9,80.1,*,64.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,04,19,74.3,24,63.2,24,1018.9,24,1018.5,24,9.8,24,15.4,24,21.0,999.9,79.0,*,70.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,04,20,71.9,24,61.6,24,1019.2,24,1018.9,24,9.9,24,13.3,24,22.9,999.9,79.0,*,64.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,04,21,69.9,24,61.6,24,1018.0,24,1017.6,24,10.3,24,9.6,23,17.1,999.9,79.0,*,62.1,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,04,22,71.0,24,60.5,24,1018.2,24,1017.8,24,10.6,24,8.5,24,15.9,999.9,80.1,*,61.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,23,74.1,24,61.3,24,1019.7,24,1019.3,24,11.4,24,11.5,24,21.0,999.9,80.1,*,66.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,24,75.3,24,62.5,24,1020.2,24,1019.8,24,11.7,24,15.8,24,22.9,999.9,80.1,*,72.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,25,75.0,24,62.4,24,1016.7,24,1016.2,24,11.4,24,15.4,24,22.0,999.9,79.0,*,71.1,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,26,75.7,24,65.6,24,1014.1,24,1013.7,24,10.9,24,13.5,24,19.0,999.9,81.0,*,73.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,27,74.3,24,69.0,24,1012.8,24,1012.4,24,8.9,24,11.4,24,17.1,999.9,81.0,*,66.9,*,99.99,,999.9,0,1,0,0,1,0
